Fold,"{'K': 3, 'voting': 'BC', 'retention': 'AR'}","{'K': 3, 'voting': 'BC', 'retention': 'DD'}","{'K': 3, 'voting': 'BC', 'retention': 'DF'}","{'K': 3, 'voting': 'BC', 'retention': 'NR'}","{'K': 3, 'voting': 'MP', 'retention': 'AR'}","{'K': 3, 'voting': 'MP', 'retention': 'DD'}","{'K': 3, 'voting': 'MP', 'retention': 'DF'}","{'K': 3, 'voting': 'MP', 'retention': 'NR'}","{'K': 5, 'voting': 'BC', 'retention': 'AR'}","{'K': 5, 'voting': 'BC', 'retention': 'DD'}","{'K': 5, 'voting': 'BC', 'retention': 'DF'}","{'K': 5, 'voting': 'BC', 'retention': 'NR'}","{'K': 5, 'voting': 'MP', 'retention': 'AR'}","{'K': 5, 'voting': 'MP', 'retention': 'DD'}","{'K': 5, 'voting': 'MP', 'retention': 'DF'}","{'K': 5, 'voting': 'MP', 'retention': 'NR'}","{'K': 7, 'voting': 'BC', 'retention': 'AR'}","{'K': 7, 'voting': 'BC', 'retention': 'DD'}","{'K': 7, 'voting': 'BC', 'retention': 'DF'}","{'K': 7, 'voting': 'BC', 'retention': 'NR'}","{'K': 7, 'voting': 'MP', 'retention': 'AR'}","{'K': 7, 'voting': 'MP', 'retention': 'DD'}","{'K': 7, 'voting': 'MP', 'retention': 'DF'}","{'K': 7, 'voting': 'MP', 'retention': 'NR'}"
0,0.991803279,0.991803279,0.991803279,0.991803279,0.996357013,0.995446266,0.995446266,0.995446266,0.996357013,0.996357013,0.996357013,0.996357013,0.994535519,0.994535519,0.994535519,0.994535519,0.996357013,0.995446266,0.995446266,0.995446266,0.993624772,0.993624772,0.993624772,0.993624772
1,0.993630573,0.993630573,0.993630573,0.993630573,0.991810737,0.991810737,0.991810737,0.991810737,0.991810737,0.992720655,0.992720655,0.992720655,0.989080983,0.989990901,0.989990901,0.989990901,0.991810737,0.992720655,0.992720655,0.992720655,0.989990901,0.990900819,0.990900819,0.990900819
2,0.996353692,0.996353692,0.995442115,0.995442115,0.995442115,0.995442115,0.995442115,0.995442115,0.993618961,0.993618961,0.993618961,0.993618961,0.992707384,0.991795807,0.991795807,0.991795807,0.993618961,0.993618961,0.993618961,0.993618961,0.99088423,0.992707384,0.992707384,0.991795807
3,0.992727273,0.992727273,0.992727273,0.992727273,0.99,0.99,0.99,0.99,0.991818182,0.992727273,0.992727273,0.992727273,0.990909091,0.991818182,0.990909091,0.990909091,0.990909091,0.991818182,0.991818182,0.991818182,0.99,0.989090909,0.989090909,0.989090909
4,0.995446266,0.995446266,0.995446266,0.995446266,0.994535519,0.994535519,0.993624772,0.993624772,0.994535519,0.994535519,0.994535519,0.994535519,0.994535519,0.992714026,0.992714026,0.992714026,0.995446266,0.995446266,0.994535519,0.994535519,0.991803279,0.991803279,0.991803279,0.991803279
5,0.993624772,0.992714026,0.992714026,0.992714026,0.995446266,0.995446266,0.995446266,0.996357013,0.996357013,0.996357013,0.996357013,0.99726776,0.995446266,0.995446266,0.996357013,0.996357013,0.995446266,0.996357013,0.996357013,0.996357013,0.992714026,0.992714026,0.992714026,0.992714026
6,0.995462795,0.994555354,0.995462795,0.994555354,0.994555354,0.994555354,0.995462795,0.994555354,0.995462795,0.994555354,0.995462795,0.994555354,0.992740472,0.992740472,0.993647913,0.992740472,0.993647913,0.993647913,0.994555354,0.993647913,0.992740472,0.992740472,0.992740472,0.992740472
7,0.991818182,0.99,0.990909091,0.99,0.992727273,0.992727273,0.992727273,0.992727273,0.992727273,0.992727273,0.992727273,0.992727273,0.993636364,0.992727273,0.992727273,0.992727273,0.993636364,0.993636364,0.993636364,0.993636364,0.994545455,0.994545455,0.994545455,0.994545455
8,0.992714026,0.992714026,0.992714026,0.992714026,0.994535519,0.994535519,0.994535519,0.994535519,0.995446266,0.995446266,0.995446266,0.995446266,0.992714026,0.992714026,0.992714026,0.992714026,0.994535519,0.994535519,0.994535519,0.994535519,0.992714026,0.993624772,0.993624772,0.993624772
9,0.993647913,0.993647913,0.994555354,0.994555354,0.992740472,0.992740472,0.992740472,0.992740472,0.992740472,0.992740472,0.992740472,0.992740472,0.990018149,0.990018149,0.990018149,0.990018149,0.992740472,0.992740472,0.992740472,0.992740472,0.990018149,0.989110708,0.990018149,0.989110708
10,0.949494949,0.96969697,0.95959596,0.96969697,0.949494949,0.949494949,0.949494949,0.949494949,0.949494949,0.95959596,0.95959596,0.95959596,0.949494949,0.949494949,0.939393939,0.949494949,0.949494949,0.949494949,0.949494949,0.949494949,0.929292929,0.929292929,0.929292929,0.929292929
11,0.96969697,0.949494949,0.95959596,0.949494949,0.929292929,0.929292929,0.929292929,0.919191919,0.939393939,0.919191919,0.929292929,0.919191919,0.848484848,0.838383838,0.838383838,0.808080808,0.919191919,0.909090909,0.929292929,0.919191919,0.787878788,0.767676768,0.787878788,0.737373737
12,0.96969697,0.96969697,0.96969697,0.96969697,0.96969697,0.97979798,0.97979798,0.97979798,0.96969697,0.96969697,0.97979798,0.97979798,0.95959596,0.95959596,0.95959596,0.95959596,0.96969697,0.96969697,0.97979798,0.97979798,0.939393939,0.939393939,0.929292929,0.929292929
13,0.96969697,0.96969697,0.96969697,0.96969697,0.95959596,0.95959596,0.95959596,0.95959596,0.97979798,0.97979798,0.97979798,0.97979798,0.939393939,0.939393939,0.939393939,0.939393939,0.96969697,0.96969697,0.96969697,0.96969697,0.919191919,0.919191919,0.919191919,0.919191919
14,0.98989899,0.98989899,0.98989899,0.98989899,0.95959596,0.95959596,0.96969697,0.96969697,0.97979798,0.97979798,0.97979798,0.97979798,0.919191919,0.919191919,0.898989899,0.888888889,0.96969697,0.96969697,0.96969697,0.96969697,0.868686869,0.868686869,0.868686869,0.858585859
15,0.96969697,0.96969697,0.96969697,0.96969697,0.97979798,0.97979798,0.97979798,0.97979798,0.96969697,0.96969697,0.96969697,0.96969697,0.95959596,0.95959596,0.95959596,0.95959596,0.96969697,0.96969697,0.96969697,0.96969697,0.909090909,0.909090909,0.919191919,0.888888889
16,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.98989899,0.96969697,0.96969697,0.96969697,0.95959596,0.98989899,0.98989899,0.98989899,0.98989899,0.939393939,0.929292929,0.939393939,0.929292929
17,0.97979798,0.97979798,0.97979798,0.97979798,0.95959596,0.949494949,0.949494949,0.949494949,0.96969697,0.96969697,0.95959596,0.95959596,0.909090909,0.909090909,0.909090909,0.898989899,0.95959596,0.95959596,0.949494949,0.949494949,0.878787879,0.858585859,0.878787879,0.838383838
18,1,1,1,1,0.97979798,0.97979798,0.97979798,0.97979798,1,1,1,1,0.97979798,0.97979798,0.96969697,0.95959596,0.98989899,0.98989899,0.98989899,0.98989899,0.949494949,0.949494949,0.939393939,0.929292929
19,0.96969697,0.96969697,0.96969697,0.96969697,0.939393939,0.939393939,0.929292929,0.939393939,0.96969697,0.96969697,0.95959596,0.96969697,0.929292929,0.929292929,0.919191919,0.919191919,0.949494949,0.95959596,0.949494949,0.949494949,0.909090909,0.919191919,0.898989899,0.888888889
20,0.903426791,0.900311526,0.903426791,0.900311526,0.959501558,0.959501558,0.959501558,0.959501558,0.956386293,0.956386293,0.956386293,0.956386293,0.965732087,0.965732087,0.965732087,0.965732087,0.962616822,0.962616822,0.962616822,0.962616822,0.956386293,0.953271028,0.953271028,0.953271028
21,0.925,0.921875,0.921875,0.921875,0.971875,0.96875,0.96875,0.96875,0.978125,0.975,0.975,0.975,0.978125,0.975,0.975,0.975,0.984375,0.978125,0.978125,0.978125,0.975,0.971875,0.971875,0.971875
22,0.890282132,0.890282132,0.890282132,0.887147335,0.952978056,0.952978056,0.946708464,0.946708464,0.943573668,0.943573668,0.940438871,0.937304075,0.962382445,0.962382445,0.959247649,0.959247649,0.952978056,0.952978056,0.94984326,0.94984326,0.956112853,0.956112853,0.956112853,0.956112853
23,0.890282132,0.890282132,0.890282132,0.890282132,0.956112853,0.956112853,0.956112853,0.956112853,0.952978056,0.952978056,0.952978056,0.952978056,0.968652038,0.968652038,0.968652038,0.971786834,0.968652038,0.971786834,0.971786834,0.97492163,0.959247649,0.962382445,0.962382445,0.962382445
24,0.890625,0.8875,0.8875,0.8875,0.95625,0.959375,0.95625,0.95625,0.94375,0.94375,0.94375,0.94375,0.953125,0.959375,0.959375,0.95625,0.953125,0.953125,0.95625,0.95625,0.95625,0.95625,0.95625,0.95625
25,0.905956113,0.905956113,0.905956113,0.905956113,0.962382445,0.962382445,0.962382445,0.962382445,0.965517241,0.962382445,0.962382445,0.962382445,0.952978056,0.956112853,0.952978056,0.952978056,0.959247649,0.959247649,0.959247649,0.959247649,0.965517241,0.965517241,0.965517241,0.965517241
26,0.896875,0.896875,0.896875,0.896875,0.95625,0.959375,0.959375,0.959375,0.95625,0.95625,0.95625,0.95625,0.978125,0.978125,0.98125,0.978125,0.971875,0.971875,0.971875,0.96875,0.971875,0.96875,0.96875,0.971875
27,0.918495298,0.918495298,0.918495298,0.918495298,0.971786834,0.971786834,0.971786834,0.971786834,0.965517241,0.965517241,0.965517241,0.965517241,0.971786834,0.971786834,0.971786834,0.968652038,0.965517241,0.965517241,0.965517241,0.965517241,0.968652038,0.968652038,0.968652038,0.968652038
28,0.905660377,0.905660377,0.905660377,0.905660377,0.946540881,0.943396226,0.943396226,0.943396226,0.933962264,0.933962264,0.93081761,0.93081761,0.968553459,0.968553459,0.971698113,0.971698113,0.968553459,0.965408805,0.965408805,0.965408805,0.962264151,0.962264151,0.962264151,0.962264151
29,0.890965732,0.890965732,0.890965732,0.890965732,0.956386293,0.956386293,0.956386293,0.956386293,0.959501558,0.959501558,0.959501558,0.959501558,0.962616822,0.962616822,0.959501558,0.959501558,0.965732087,0.965732087,0.965732087,0.965732087,0.956386293,0.956386293,0.956386293,0.956386293
